公共施設のメインエントランスと通用口を入れ替える作品,秋山ブク,311,art
一般公募の４つ,一般公募より抜粋,245,members
一般公募の５つ,一般公募より抜粋,210,members
喧嘩した人と仲直りしたい,池野詩織,270,art
可愛い凧を作って凧揚げをしたい,池野詩織,269,art
光っている方へ行く,池野詩織,268,art
藍で染めよう祭り,ソウ,247,life
一番初めに落ちてくる雨粒の観察 など,ソノノ,261,life
妖精を、追いかけたり、眺めたり、 など,yonezo,260,life
紅弾けるまでギター合宿 など,tantan,237,life
偽物の故郷をつくりたい,井上奈美,255,direction
作品を部屋いっぱいに並べてみたい,yamamoo,244,music
いまからでもいいので自分が死ぬまでの記録を映像として残したい など,スポーツガーデンひ,259,music
ドラァグクイーンのメイクがしたい,ψ μαψυ,257,music
良い睡眠にとって最良のものを集めた環境で眠る,小菅くみ,256,art
たまごパーティ！,ねこたまごちゃん,246,art
針葉樹を紙糸にして製品に編みファブリックとして販売する,蓮沼千紘,234,art
好きだった恋愛対象を紙に順に書いてもらう,レパー,216,art
大きなことも小さなことも一緒に探っていきましょう,Ro / Chris Shields,198,music
サイキック少年になりたい,sakumotto,233,direction
微生物を練り込んだ本を作る,飯沢未央,227,art
春を迎えに行きたい など,廣野鮎美,212,art
ホクロが何個あるのか知りたい,時吉あきな,215,art
中華料理屋さんが本当にあるのか確かめたい,時吉あきな,214,art
座右の銘を交換したい,宙空一派,211,music
綺麗なフェードカットに仕上げてみたい,Le Makeup,213,music
一般公募の６つ,一般公募より抜粋,199,members
合唱したい,石塚俊,208,edit
街のお店の公式グッズを作る,石塚俊,209,edit
架空の家を作りたいです,emamouse,207,music
記憶と夢をシャッフル,pootee,206,art
ふざける・目立つ・食い意地,りえ,190,life
全国の道路をめくって芝を植えたい,浅野充利,189,life
『芝浴』,浅野充利,189,life
生きた国の味がするバナナブレッドのプティングをつくる など,永遠,205,life
オペラ２ など,Dove,200,music
浮きたい,鷲尾 怜,203,art
癖を発表/実践するプレゼン大会,松延総司,201,art
SNSの景色を体験し合ってみたい,カトー,202,direction
性転換 など,fri珍,187,music
一般公募の７つ,一般公募より抜粋,160,members
全員に好きって告白されたい,ひろし,161,life
一冊の写真集を大量に集めて展示,河野幸人,181,art
リサイクルショップの地図を作る,江村仁太,152,life
人の体の全表面に写真のタトゥーシールを貼る,江村仁太,151,life
海を見ながら涙を流すキリンが見たい(原寸大で),24river,154,life
もう一度、手づくりの凧を空へ飛ばしたい,Yuto Ohashi,155,music
目を閉じたまま写真を撮りたい,Kenny Pain,156,art
広い空間で思いっ切りお皿を叩き割りたい,河野裕麻,133,art
オセロットになる,松尾黄,153,life
主役以外、全員等身大パネルの誕生日パーティー,コーヒー ムテ,150,spot
暗い部屋でお喋りしたい,Kenny Pain,149,art
エスカレーターの段を人で全て埋めて流れていく,Sara Hirayama,112,art
サボテン植え替え大会,YeXuQo,129,music
一般公募の９つ,一般公募より抜粋,116,members
憧れの黒電話をリモコンで再現,るる,113,life
素顔を暴く,琥珀,148,spot
暗闇でノイズを大音量で聴く体験を共有,琥珀,147,spot
モノと化した人間を撮影したい,琥珀,146,spot
メルティングライヴ,琥珀,145,spot
建物に火をつける,ハマジ,137,music
暦がなくなった世界を妄想したカレンダーをつくりたい など,小中 葵,128,life
写真と物を飾った展示,イトウ ヒロキ,136,life
夜の海に服のまま入ってタバコを吸う など,中田有美,127,art
初対面の人に、かたっぱしからミドルネーム付けたい,コーヒー ムテ,126,spot
誰かの買い物リストで買った食材で料理 など,UMMMI,125,art
一年間日記をつけて、あわよくば出版する,Kenshi,124,music
服を一度解体してもう一度自分で縫い直してみたい,沖真秀,121,art
できる限り粗悪な音でいろんな音楽を聴きたい,沖真秀,122,art
家にあるえげつない量のフライヤーを壁一面に貼りたい,熊澤隆仁,111,life
世界1美味しくて大きいパフェが食べたい など,原田真由子,110,life
革なめしから作りたい！,原田真由子,117,life
大ドッジボール大会,西山与利子,107,spot
火星移住,平山昌尚,106,art
落ち葉で焼き芋,ヒカワ,105,edit
大コレクション展,西山与利子,103,spot
海外での展示 など,さとうさかな,104,art
世界中のアスファルトを土に戻す など,新田さやか,102,life
忘れたことを思い出す／思い出を忘れる,船川翔司,97,art
Weathering with …,船川翔司,96,art
生花,芥川亜由弥,95,edit
磨きたい,seaketa,94,music
無意識にやってしまっていることを知りたい,なっちん,93,life
レゲエMCになってみたい,セーラーかんな子,92,music
何を作ってもいい会,YAMASTORE,91,spot
プリクラ機の落書きコーナーの足元だけ撮った写真集 など,maqui,90,music
とにかく汚れたい,中尾香織,89,direction
破片・かけらをいっぱい作りたい,中尾香織,88,direction
知らない町で生活してみたい,川良,87,spot
地球上の小石を一つの場所に集めてみたい,金子由里奈,86,art
大勢(勿論全員全裸)の写真を撮りまくってみたい など,きゅー,85,life
お米とコーヒーを一緒においしく,中尾香織,84,direction
靴の上から靴を履きたい,wanna be youth,83,music
雨をのみたい、草を食べたい,woopheadclrms,81,music
もう一度「しろいもお」をさわりたい,時吉あきな,80,art
閉ざされた空間にぎちぎちに詰め込まれたい,ぎぼん,79,life
ベランダで太陽の光を浴びる,hir 0))),78,music
何人かで「ラ(だと思う音)」の音合わせをしたい,山村祥子,77,art
シナリオライティング,ささじまかずま,76,direction
虹の先っちょに行く,アンナ,75,life
おっきな焚火,0,71,art
ふとんで寝ながらさんぽしたい,黒木結,70,art
お風呂で１日生活する,服部峻,68,music
お店,吉村祥,67,spot
電子マネー KOIPAY 始動！ など,小池ん,66,spot
数学を勉強したい,Ψυχή,65,music
夢の中で待ち合わせ,Soogyong Kim,58,art
孤島に沢山のスピーカーを待っていって音を爆音で鳴らしてパーティーをする など,南タン,51,life
ヘリウムガスを吸って混声合唱,黄倉未来,49,music
とある風景に付随する記憶や感情,不揃いキャラメルケーキ,34,life
色んな長いものをだらーんて垂らしてみたい,中尾香織,28,direction
昔をカラーでイメージできない,Kakita Ibuki,27,life
記憶の重ね合わせ,Kakita Ibuki,26,life
DJと作曲,𝑚𝑜𝑠𝑡𝑖𝑛,25,life
プロジェクター投影,Kakita Ibuki,23,life
職業体験,芥川亜由弥,22,edit
換気したい,ささじまかずま,21,direction